identity,attribute,region_stereo,region_nonstereo,region_unsure,Annotation1,Annotation2,Annotation3,offensiveness_score
New Yorker,snobbish,1,2,0,1,3,1,1.666666667
New Yorker,retail,2,1,0,-1,-1,-1,-1
New Yorker,pro-taxes,1,2,0,NA,NA,NA,0
New Yorker,pro-tax,1,2,0,-1,-1,-1,-1
New Yorker,pro-life,1,2,0,-1,-1,-1,-1
New Yorker,pro-labor,1,1,1,-1,-1,-1,-1
New Yorker,pro-immigration,1,2,0,NA,NA,NA,0
New Yorker,pro-gun control,1,2,0,NA,NA,NA,0
New Yorker,pro-gay marriage,1,2,0,-1,1,-1,-0.3333333333
New Yorker,pro-environment,1,2,0,NA,NA,NA,0
New Yorker,pro-choice,1,1,1,-1,1,-1,-0.3333333333
New Yorker,pro-business,2,1,0,-1,-1,-1,-1
New Yorker,pro-abortion,1,2,0,NA,NA,NA,0
New Yorker,leftist,1,1,1,NA,NA,NA,0
New Yorker,left-wing,1,2,0,-1,-1,-1,-1
New Yorker,gun control,1,2,0,-1,-1,-1,-1
New Yorker,economic liberal,1,2,0,NA,NA,NA,0
New Yorker,city,3,0,0,NA,NA,NA,0
New Yorker,capitalist,1,2,0,-1,-1,-1,-1
New Yorker,anti-gun control,1,2,0,-1,-1,-1,-1
New Mexican,white,1,2,0,-1,-1,-1,-1
New Mexican,spicy,1,2,0,-1,-1,-1,-1
New Mexican,pro-life,1,2,0,-1,-1,-1,-1
New Mexican,pro-gun control,1,2,0,NA,NA,NA,0
New Mexican,pro-choice,1,1,1,-1,1,-1,-0.3333333333
New Mexican,pro-border control,1,2,0,NA,NA,NA,0
New Mexican,mafia,1,1,1,-1,-1,4,0.6666666667
New Jerseyan,rural,1,2,0,-1,-1,-1,-1
New Jerseyan,pro-taxes,1,2,0,NA,NA,NA,0
New Jerseyan,pro-tax hike,1,1,1,NA,NA,NA,0
New Yorker,secular,1,2,0,1,-1,-1,-0.3333333333
New Yorker,socialist,1,2,0,-1,-1,-1,-1
New Hampshirite,pro-gay marriage,1,2,0,-1,1,-1,-0.3333333333
New Yorker,urban,3,0,0,-1,-1,-1,-1
Oklahoman,pro-gun control,1,2,0,NA,NA,NA,0
Oklahoman,pro-death penalty,1,2,0,NA,NA,NA,0
Oklahoman,pro life,2,1,0,-1,-1,-1,-1
Oklahoman,oklahoma,1,1,1,-1,-1,-1,-1
Oklahoman,feminist,1,2,0,-1,-1,-1,-1
Oklahoman,anti-gun control,1,2,0,-1,-1,-1,-1
Oklahoman,activist,1,2,0,NA,NA,NA,0
Oklahoman,activism,1,2,0,-1,-1,-1,-1
Ohioan,unemployed,1,2,0,1,1,-1,0.3333333333
Ohioan,senator,1,2,0,NA,NA,NA,0
Ohioan,pro-union,1,2,0,NA,NA,NA,0
Ohioan,pro-gun control,1,2,0,NA,NA,NA,0
Ohioan,middle_class,1,2,0,-1,1,-1,-0.3333333333
Ohioan,buckeye,1,1,1,-1,-1,-1,-1
Ohioan,blue_collar,2,1,0,-1,-1,-1,-1
Ohioan,angry,1,2,0,2,1,2,1.666666667
Ohioan,american,1,2,0,NA,NA,NA,0
North Dakotan,white,1,1,1,-1,-1,-1,-1
North Dakotan,stupid,1,2,0,1,4,3,2.666666667
North Dakotan,rural,3,0,0,-1,-1,-1,-1
North Dakotan,pro-life,1,2,0,-1,-1,-1,-1
North Dakotan,pro-gun control,1,2,0,NA,NA,NA,0
North Dakotan,dumb,1,2,0,1,4,3,2.666666667
North Dakotan,anti-immigration,1,2,0,NA,NA,NA,0
North Carolinian,racist,2,1,0,2,3,3,2.666666667
North Carolinian,pro-life,1,1,1,-1,-1,-1,-1
North Carolinian,libertarian,1,2,0,-1,-1,-1,-1
North Carolinian,friendly,1,2,0,-1,-1,-1,-1
New Jerseyan,pro-labor,1,2,0,-1,-1,-1,-1
New Jerseyan,pro-gun control,1,2,0,NA,NA,NA,0
New Jerseyan,pro-choice,1,2,0,-1,1,-1,-0.3333333333
New Jerseyan,left-leaning,1,2,0,-1,-1,-1,-1
Nebraskan,hardworking,1,2,0,-1,-1,-1,-1
Nebraskan,anti-gun control,3,0,0,-1,-1,-1,-1
Nebraskan,anti-death penalty,1,2,0,-1,0,-1,-0.6666666667
Montanan,working_poor,1,2,0,2,2,0,1.333333333
Montanan,working_class,1,2,0,NA,NA,NA,0
Montanan,senior_citizen,1,2,0,-1,-1,-1,-1
Montanan,protestant,1,2,0,NA,NA,NA,0
Montanan,pro_life,1,1,1,NA,NA,NA,0
Montanan,pro_guns,3,0,0,-1,-1,-1,-1
Montanan,pro-trade,1,2,0,-1,-1,-1,-1
Montanan,pro-social security,1,2,0,NA,NA,NA,0
Montanan,pro-military,1,2,0,NA,NA,NA,0
Montanan,pro-medicare,1,2,0,-1,-1,-1,-1
Montanan,pro-life,1,2,0,-1,-1,-1,-1
Montanan,pro-gun,2,1,0,-1,-1,-1,-1
Montanan,pro-environment,1,2,0,NA,NA,NA,0
Montanan,pro-business,1,2,0,-1,-1,-1,-1
Montanan,pro-abortion,1,2,0,NA,NA,NA,0
Montanan,none,1,2,0,-1,-1,-1,-1
Montanan,moderate,1,2,0,-1,-1,-1,-1
Montanan,military,1,2,0,NA,NA,NA,0
Montanan,male,1,2,0,-1,-1,-1,-1
Montanan,hunting,1,1,1,NA,NA,NA,0
Montanan,fiscal-conservative,1,2,0,-1,-1,-1,-1
Nebraskan,neutral,1,2,0,-1,-1,-1,-1
Nebraskan,pro-corn,1,2,0,-1,-1,-1,-1
Nevadan,white,1,2,0,-1,-1,-1,-1
New Jerseyan,diverse,1,2,0,NA,NA,NA,0
New Jerseyan,anti-gun control,1,2,0,-1,-1,-1,-1
