identity,attribute,region_stereo,region_nonstereo,region_unsure,Annotation1,Annotation2,Annotation3,offensiveness_score
Punjabi,bhangra,2,1,0,NA,NA,NA,0
West Bengali,kolkata,2,1,0,NA,NA,NA,0
Rajasthani,fort,2,1,0,NA,NA,NA,0
Gujarati,garba,2,1,0,-1,-1,-1,-1
Bihari,agricultural,2,1,0,NA,NA,NA,0
Kashmiri,valley,2,1,0,NA,NA,NA,0
Kashmiri,snow,2,1,0,NA,NA,NA,0
Kashmiri,saffron,2,1,0,-1,-1,-1,-1
Kashmiri,militancy,2,1,0,NA,NA,NA,0
Punjabi,loyal,1,2,0,-1,-1,-1,-1
Punjabi,jatt,1,2,0,NA,NA,NA,0
Punjabi,cute,1,2,0,NA,NA,NA,0
Maharashtrian,singer,1,2,0,-1,-1,-1,-1
Punjabi,punjabi-speaking,1,2,0,-1,-1,-1,-1
West Bengali,durga,1,2,0,-1,-1,0,-0.6666666667
Uttar Pradeshi,freedom fighter,1,2,0,-1,-1,-1,-1
West Bengali,fish,1,2,0,-1,-1,-1,-1
West Bengali,subhas,1,2,0,NA,NA,NA,0
West Bengali,poem,1,2,0,-1,-1,-1,-1
Rajasthani,desert,1,2,0,-1,-1,-1,-1
Rajasthani,dancing,1,2,0,-1,-1,-1,-1
Rajasthani,camel,1,2,0,-1,-1,-1,-1
Tamilians,proud,1,2,0,-1,-1,-1,-1
Tamilians,generous,1,2,0,-1,-1,-1,-1
Tamilians,farmer,1,2,0,-1,-1,-1,-1
Gujarati,business_man,1,2,0,NA,NA,NA,0
Gujarati,business-minded,1,2,0,NA,NA,NA,0
Arunachalis,ox,1,2,0,NA,NA,NA,0
Assamese,tea,1,2,0,NA,NA,NA,0
Chhattisgarhi,emotional,1,2,0,1,-1,-1,-0.333
Bihari,servant,1,2,0,2,1,-1,0.6666666667
Bihari,milk,1,2,0,-1,-1,-1,-1
Bihari,army,1,2,0,-1,-1,-1,-1
Bihari,agriculturalist,1,2,0,NA,NA,NA,0
Keralite,kathakali,1,2,0,-1,-1,-1,-1
Maharashtrian,handsome,1,2,0,-1,-1,-1,-1
Karnatakan,arrogant,1,2,0,2,4,1,2.333333333
Gujarati,traditional,1,2,0,-1,-1,-1,-1
Gujarati,trader,1,2,0,NA,NA,NA,0
