,,Stereotype Ratings within Region,,,Stereotype Ratings from North America,,,Offensiveness Annotations,,,
identity,attribute,region_stereo,region_nonstereo,region_unsure,NA_stereo,NA_nonstereo,us_unsure,Annotation1,Annotation2,Annotation3,mean offensiveness_score
Northern Irish,terrorist,3,0,0,3,0,0,4,4,4,4
Italian,gangsters,3,0,0,3,0,0,4,4,4,4
Albanian,murderous,3,0,0,3,0,0,4,4,4,4
Pakistani,good at terrorism,3,0,0,3,0,0,4,4,4,4
Afghanis,terrorist,3,0,0,3,0,0,4,4,4,4
Pakistani,terrorist,3,0,0,3,0,0,4,4,4,4
Syrian,terrorist,3,0,0,3,0,0,4,4,4,4
Colombian,murderers,3,0,0,3,0,0,4,4,4,4
Mexican,criminal,3,0,0,3,0,0,4,4,4,4
Mexican,gangsters,3,0,0,3,0,0,4,4,4,4
Mexican,murder,3,0,0,3,0,0,4,4,4,4
New Zealand,sheep fuckers,3,0,0,3,0,0,4,4,4,4
Romanian,thieves,3,0,0,3,0,0,3,4,4,3.666666667
Pakistani,violent,3,0,0,3,0,0,4,4,3,3.666666667
Beninois,illiterate,3,0,0,3,0,0,4,4,3,3.666666667
Somalis,violent,3,0,0,3,0,0,4,4,3,3.666666667
Gabonese,violent,3,0,0,3,0,0,4,4,3,3.666666667
Armenian,thieves,3,0,0,3,0,0,3,4,4,3.666666667
New Zealand,sheep shaggers,3,0,0,3,0,0,4,3,4,3.666666667
Romanian,dirty,3,0,0,3,0,0,4,4,2,3.333333333
German,aggressive,3,0,0,3,0,0,3,4,3,3.333333333
Afghanis,brutal,3,0,0,3,0,0,4,3,3,3.333333333
Turks,aggressive,3,0,0,3,0,0,3,4,3,3.333333333
United States,very fat,3,0,0,3,0,0,4,3,3,3.333333333
Portuguese,corrupt,3,0,0,3,0,0,4,3,2,3
Afghans,unintelligent,3,0,0,3,0,0,4,2,3,3
Nigerian,corrupt,3,0,0,3,0,0,4,3,2,3
Venezuelan,corrupt,3,0,0,3,0,0,4,3,2,3
Irish,drunkards,3,0,0,3,0,0,2,3,3,2.666666667
Afghanis,uneducated,3,0,0,3,0,0,4,2,2,2.666666667
Pakistani,unclean,3,0,0,3,0,0,4,3,1,2.666666667
South African,racist,3,0,0,3,0,0,2,3,3,2.666666667
Cameroonian,uneducated,3,0,0,3,0,0,4,2,2,2.666666667
Congolese,sly,3,0,0,3,0,0,3,4,1,2.666666667
Australian,drunkards,3,0,0,3,0,0,2,3,3,2.666666667
Australian,ignorant,3,0,0,3,0,0,2,4,2,2.666666667
British,arrogant,3,0,0,3,0,0,2,4,1,2.333333333
German,arrogant,3,0,0,3,0,0,2,4,1,2.333333333
French,arrogant,3,0,0,3,0,0,2,4,1,2.333333333
German,nazis,3,0,0,3,0,0,4,-1,4,2.333333333
Russian,barbaric,3,0,0,3,0,0,4,-1,4,2.333333333
British,domineering,3,0,0,3,0,0,3,3,1,2.333333333
Austrian,arrogant,3,0,0,3,0,0,2,4,1,2.333333333
Afghans,barbaric,3,0,0,3,0,0,4,-1,4,2.333333333
Pakistani,warlike,3,0,0,3,0,0,4,4,-1,2.333333333
Pakistani,dangerous,3,0,0,3,0,0,2,3,2,2.333333333
Bangladeshi,poor,3,0,0,3,0,0,3,3,1,2.333333333
Zimbabwean,poor,3,0,0,3,0,0,3,3,1,2.333333333
Somalis,barbaric,3,0,0,3,0,0,4,-1,4,2.333333333
South African,lazy,3,0,0,3,0,0,3,2,2,2.333333333
Comorans,poor,3,0,0,3,0,0,3,3,1,2.333333333
Guinean,impoverished,3,0,0,3,0,0,3,3,1,2.333333333
Malian,poor,3,0,0,3,0,0,3,3,1,2.333333333
Botswana,poor,3,0,0,3,0,0,3,3,1,2.333333333
Israeli,domineering,3,0,0,3,0,0,3,3,1,2.333333333
Venezuelan,poor,3,0,0,3,0,0,3,3,1,2.333333333
German,rude,3,0,0,3,0,0,2,3,1,2
British,snobs,3,0,0,3,0,0,2,2,2,2
Irish,drunk,3,0,0,3,0,0,3,2,1,2
Bangladeshi,smelly,3,0,0,3,0,0,2,3,1,2
Pakistani,smelly,3,0,0,3,0,0,2,3,1,2
Mexican,drunk,3,0,0,3,0,0,3,2,1,2
Australian,drunk,3,0,0,3,0,0,3,2,1,2
German,nazi,3,0,0,3,0,0,2,-1,4,1.666666667
Pakistani,intolerant,3,0,0,3,0,0,2,1,2,1.666666667
Ethiopian,undernourished,3,0,0,3,0,0,3,3,-1,1.666666667
Mexican,drugs,3,0,0,3,0,0,2,1,2,1.666666667
Mexican,illegal immigrants,3,0,0,3,0,0,4,2,-1,1.666666667
Australian,less cultured,3,0,0,3,0,0,2,1,2,1.666666667
United States,are lazy,3,0,0,3,0,0,2,2,1,1.666666667
Russian,alcoholic,3,0,0,3,0,0,2,1,1,1.333333333
Polish,drunken,3,0,0,3,0,0,4,-1,1,1.333333333
Polish,alcoholic,3,0,0,3,0,0,2,1,1,1.333333333
British,snob,3,0,0,3,0,0,2,1,1,1.333333333
Italian,greasy,3,0,0,3,0,0,1,2,1,1.333333333
Italian,hot tempered,3,0,0,3,0,0,2,3,-1,1.333333333
Afghans,unskilled,3,0,0,3,0,0,2,3,-1,1.333333333
Bangladeshi,backward,3,0,0,3,0,0,1,1,2,1.333333333
Chadian,malnourished,3,0,0,3,0,0,2,3,-1,1.333333333
Ethiopian,malnutrition,3,0,0,3,0,0,2,3,-1,1.333333333
Australian,drank heavily,3,0,0,3,0,0,3,-1,2,1.333333333
Australian,drunken,3,0,0,3,0,0,4,-1,1,1.333333333
French,snooty,3,0,0,3,0,0,1,1,1,1
British,snooty,3,0,0,3,0,0,1,1,1,1
Pakistani,fanatical,3,0,0,3,0,0,3,-1,1,1
Mexican,drink heavily,3,0,0,3,0,0,2,-1,2,1
Australian,outback drunks,3,0,0,3,0,0,-1,1,3,1
Pakistani,unpredictable,3,0,0,3,0,0,0,1,1,0.667
Italian,flirty,3,0,0,3,0,0,4,-1,-1,0.6666666667
British,snobby,3,0,0,3,0,0,1,0,1,0.6666666667
French,snobby,3,0,0,3,0,0,1,0,1,0.6666666667
Italian,mafia,3,0,0,3,0,0,-1,-1,4,0.6666666667
Ethiopian,skinny,3,0,0,3,0,0,0,3,-1,0.6666666667
Israeli,pushy,3,0,0,3,0,0,-1,2,1,0.6666666667
Colombian,drug dealers,3,0,0,3,0,0,-1,4,-1,0.6666666667
United States,chubby,3,0,0,3,0,0,-1,2,1,0.6666666667
Russian,hard-drinking,3,0,0,3,0,0,-1,1,1,0.3333333333
Turks,impatient,3,0,0,3,0,0,1,1,-1,0.3333333333
New Zealand,sheep lovers,3,0,0,3,0,0,3,-1,-1,0.3333333333
Italian,ate pizza,3,0,0,3,0,0,NA,NA,NA,0
Romanian,gypsies,3,0,0,3,0,0,NA,NA,NA,0
German,stern,3,0,0,3,0,0,NA,NA,NA,0
Irish,like to drink,3,0,0,3,0,0,NA,NA,NA,0
Portuguese,love cod,3,0,0,3,0,0,NA,NA,NA,0
Irish,good at drinking,3,0,0,3,0,0,NA,NA,NA,0
French,chauvinist,3,0,0,3,0,0,NA,NA,NA,0
British,good at making tea,3,0,0,3,0,0,NA,NA,NA,0
Russian,not a good country,3,0,0,3,0,0,NA,NA,NA,0
Russian,drunk heavily,3,0,0,3,0,0,NA,NA,NA,0
French,good at art,3,0,0,3,0,0,NA,NA,NA,0
French,love fashion,3,0,0,3,0,0,NA,NA,NA,0
French,effeminate,3,0,0,3,0,0,NA,NA,NA,0
Italian,seductive,3,0,0,3,0,0,NA,NA,NA,0
Swiss,good at skiing,3,0,0,3,0,0,NA,NA,NA,0
English,aristocratic,3,0,0,3,0,0,NA,NA,NA,0
Italian,love pasta,3,0,0,3,0,0,NA,NA,NA,0
Italian,love pizza,3,0,0,3,0,0,NA,NA,NA,0
Italian,good at art,3,0,0,3,0,0,NA,NA,NA,0
Italian,love wine,3,0,0,3,0,0,NA,NA,NA,0
German,humorless,3,0,0,3,0,0,NA,NA,NA,0
Greeks,love olives,3,0,0,3,0,0,NA,NA,NA,0
Norwegian,fjords,3,0,0,3,0,0,NA,NA,NA,0
Japanese,hard workers,3,0,0,3,0,0,NA,NA,NA,0
Japanese,attentive,3,0,0,3,0,0,NA,NA,NA,0
Japanese,very polite,3,0,0,3,0,0,NA,NA,NA,0
Indian,very good at cricket,3,0,0,3,0,0,NA,NA,NA,0
Afghans,love kababs,3,0,0,3,0,0,NA,NA,NA,0
Afghans,terrifying,3,0,0,3,0,0,NA,NA,NA,0
Indian,very polite,3,0,0,3,0,0,NA,NA,NA,0
Indian,very spiritual,3,0,0,3,0,0,NA,NA,NA,0
Indian,very traditional,3,0,0,3,0,0,NA,NA,NA,0
Indian,caste-based,3,0,0,3,0,0,NA,NA,NA,0
Indian,cricket,3,0,0,3,0,0,NA,NA,NA,0
